province,street,size,total_rooms,total_floors,floor,age,heating,facing,balcony,furniture,rent
Tepebasi,Tunali,120,4,3,1,20,combi,3,1,0,900
Tepebasi,Fatih,100,3,3,2,25,combi,3,1,0,750
Odunpazari,Kirmizitoprak,115,4,4,2,28,combi,3,1,0,1100
Tepebasi,Yenibaglar,60,2,3,3,12,combi,1,0,1,1300
Odunpazari,Arifiye,160,4,6,5,25,district,3,1,0,1700
Tepebasi,Batikent,100,3,4,1,7,combi,2,1,0,1200
Odunpazari,Emek,97,2,3,3,0,combi,1,1,0,850
Tepebasi,Cumhuriye,150,4,7,5,35,district,3,1,0,1500
Odunpazari,Emek,120,4,3,2,15,combi,2,1,0,1200
Tepebasi,Sirintepe,90,2,3,1,1,combi,3,0,0,700
Odunpazari,Buyukdere,55,2,4,1,8,combi,2,0,1,1100
Tepebasi,Mamure,95,3,3,0,20,combi,1,0,0,1000
Tepebasi,Hosnudiye,130,4,7,3,28,district,1,0,1,2500
Tepebasi,Eskibaglar,65,2,4,3,10,combi,2,1,0,750
Odunpazari,Yildiztepe,110,4,5,4,35,combi,1,1,0,850
Tepebasi,Bahcelievler,55,2,3,1,9,combi,3,1,0,900
Tepebasi,Sirintepe,55,2,3,2,6,combi,2,0,0,750
Tepebasi,Eskibaglar,22,1,4,4,8,district,3,1,1,125
Tepebasi,Batikent,150,4,3,2,5,combi,3,1,0,1100
Odunpazari,Buyukdere,65,2,3,2,5,combi,3,0,0,750
Tepebasi,Bahcelievler,58,2,4,2,9,combi,2,0,0,700
Odunpazari,Osmangazi,90,3,5,1,15,combi,3,1,0,1000
Tepebasi,Sutluce,55,2,3,2,2,combi,3,0,0,550
Odunpazari,Buyukdere,60,2,3,3,8,combi,1,0,1,700
Tepebasi,Uluonder,45,1,4,4,8,district,1,1,0,900
Odunpazari,Buyukdere,65,2,3,2,0,combi,2,0,0,1100
Odunpazari,Buyukdere,60,2,3,1,5,combi,3,0,0,850
Tepebasi,Bahcelievler,55,2,4,1,5,combi,4,1,1,950
Odunpazari,Vadisehir,90,3,3,3,10,district,2,1,0,800
Tepebasi,Sirintepe,65,2,3,2,1,combi,1,0,1,850
Tepebasi,Yenibaglar,60,2,4,3,12,combi,4,0,1,900
Odunpazari,Deliklitas,130,4,3,1,20,combi,3,1,0,1250
Tepebasi,Yesiltepe,55,2,4,2,15,combi,3,0,1,800
Tepebasi,Cumhuriye,115,4,7,2,25,combi,3,1,0,1200
Odunpazari,Istiklal,110,3,4,4,20,combi,2,1,0,1250
Tepebasi,Bahcelievler,60,2,4,1,9,combi,2,1,1,1100
Tepebasi,Yenibaglar,70,2,4,2,12,combi,2,1,1,900
Tepebasi,Bahcelievler,60,2,4,4,10,combi,3,1,0,750
Odunpazari,Buyukdere,55,2,3,2,9,combi,2,0,1,750
Tepebasi,Sirintepe,60,2,3,3,8,combi,1,0,0,550
Tepebasi,Yenibaglar,90,3,7,4,10,combi,2,1,0,1400
Tepebasi,Sirintepe,63,2,3,3,4,combi,2,0,0,600
Tepebasi,Yenibaglar,55,2,3,1,9,combi,4,1,1,1200
Tepebasi,Yenibaglar,60,2,4,1,9,combi,2,0,1,800
Tepebasi,Gulluk,60,2,4,2,7,combi,3,0,1,1000
Tepebasi,Tunali,120,4,3,1,40,combi,1,1,0,1000
Tepebasi,Sutluce,55,2,3,3,0,combi,2,1,0,650
Tepebasi,Bahcelievler,50,1,4,3,10,combi,4,0,1,800
Tepebasi,Eskibaglar,60,2,4,3,10,combi,4,0,0,800
Odunpazari,Buyukdere,50,2,3,2,10,combi,2,0,1,850
Odunpazari,Orhangazi,190,4,4,0,0,combi,3,1,0,1200
Odunpazari,Gokmeydan,145,4,7,4,20,district,3,1,0,1400
Odunpazari,Yildiztepe,60,2,3,3,10,combi,3,0,0,650
Tepebasi,Bahcelievler,55,2,4,3,8,combi,4,0,1,1100
Tepebasi,Bahcelievler,60,2,3,2,8,combi,1,0,0,750
Tepebasi,HaciSeyit,90,3,3,3,15,combi,3,1,0,750
Odunpazari,Yildiztepe,110,4,5,4,30,combi,1,1,0,850
Tepebasi,Sirintepe,55,2,3,2,7,combi,1,0,1,700
Tepebasi,Yenibaglar,135,4,8,7,21,district,2,1,0,2500
Tepebasi,Bahcelievler,58,2,4,1,6,combi,3,0,1,900
Tepebasi,HaciAliBey,120,4,5,3,20,district,3,1,0,1500
Tepebasi,Yenibaglar,90,3,4,2,13,combi,3,1,0,1200
Tepebasi,Hosnudiye,95,2,8,3,0,district,2,1,0,3200
Tepebasi,Sirintepe,55,2,3,3,8,combi,1,0,0,600
Tepebasi,Bahcelievler,60,2,4,2,8,combi,4,0,0,800
Tepebasi,Yenibaglar,45,1,4,1,5,combi,3,0,0,675
Odunpazari,71Evler,70,2,3,2,0,combi,3,0,0,750
Tepebasi,Sirintepe,65,2,3,3,10,combi,1,0,0,500
Tepebasi,Bahcelievler,85,3,4,1,14,combi,4,0,0,900
Tepebasi,Gulluk,80,3,4,1,10,combi,4,1,0,850
Tepebasi,Sirintepe,90,3,5,5,40,combi,2,1,0,800
Tepebasi,Gulluk,60,2,4,3,5,combi,4,1,1,750
Odunpazari,Ihlamurkent,90,3,4,3,15,combi,2,1,1,900
Tepebasi,Yenibaglar,60,2,3,2,5,combi,3,0,0,700
Tepebasi,Yenibaglar,155,4,4,2,12,combi,3,1,0,1900
Tepebasi,Sirintepe,60,2,3,2,0,combi,3,0,0,900
Tepebasi,Yenibaglar,55,2,4,3,8,combi,4,0,1,700
Tepebasi,Yenibaglar,120,4,3,0,15,combi,2,1,0,1000
Tepebasi,Sirintepe,55,2,3,3,8,combi,2,0,0,550
Tepebasi,Tunali,120,4,2,2,16,combi,1,1,0,1100
Tepebasi,Yenibaglar,25,1,4,2,2,district,4,1,1,1600
Tepebasi,Ertugrulgazi,240,4,2,2,30,combi,1,1,0,1000
Odunpazari,Orhangazi,140,3,3,3,4,combi,3,1,0,1250
Odunpazari,Visnelik,135,4,6,5,25,district,3,1,0,1750
Tepebasi,Bahcelievler,60,2,4,3,8,combi,3,1,1,1000
Tepebasi,Sirintepe,55,2,3,2,3,combi,2,0,1,800
Tepebasi,Bahcelievler,60,2,3,2,7,combi,1,0,0,750
Odunpazari,Buyukdere,65,3,3,0,13,combi,1,0,0,900
Tepebasi,Yenibaglar,60,2,4,3,7,combi,2,1,1,1600
Tepebasi,Yenibaglar,70,2,4,2,12,combi,1,0,1,900
Tepebasi,Sirintepe,60,2,3,1,1,combi,3,0,0,700
Tepebasi,Sirintepe,60,2,3,2,8,combi,2,0,0,550
Tepebasi,Sirintepe,55,2,3,2,1,combi,3,0,1,800
Tepebasi,Bahcelievler,60,2,4,4,7,combi,2,0,1,1200
Tepebasi,Sutluce,55,2,4,2,0,combi,1,0,0,650
Tepebasi,Sirintepe,55,2,3,1,9,combi,3,0,1,750
Tepebasi,Yenibaglar,30,1,4,4,5,district,2,0,1,1200
Tepebasi,Yenibaglar,35,1,4,3,4,combi,3,0,1,1200
Tepebasi,Sirintepe,68,2,3,3,11,combi,2,0,0,750
Tepebasi,Bahcelievler,60,2,4,2,6,combi,3,1,1,1100
